symbol,date,stock_price,dividends,yield
ARZZ3,2023,64.529998779296875,1.932467,0.0299468005045119
ASAI3,2021,12.77895450592041,0.110341,0.008634587434275604
ASAI3,2022,19.390823364257813,0.16209800000000002,0.008359521251623982
ASAI3,2023,13.529999732971191,0.050019,0.0036968958601018252
ATOM3,2021,2.3008065223693848,0.263379,0.11447246756270955
ATOM3,2022,2.225335121154785,0.06898,0.03099757845200612
ATOM3,2023,2.130000114440918,0.320385,0.15041548487620365
AURE3,2022,11.615007400512695,0.086049,0.0074084326451829665
AURE3,2023,12.895681381225586,3,0.23263602064235278
AURE3,2024,11.890000343322754,0.4,0.03364171475610041
B3SA3,2017,6.124941825866699,0.150912,0.024638927893596025
B3SA3,2018,7.429832458496094,0.234043,0.03150044113476197
B3SA3,2019,12.157035827636719,0.26807800000000004,0.022051263465932662
